DOE;John;john@cnam.fr;1 rue Exemple;01/01/1970;Auditeur;2023-12-20;2024-01-06
DURAND;Henry;henry@cnam.fr;2 impasse Exemple;03/01/1980;Auditeur;2023-12-22;2024-01-06
DELMAS;Jean;jean@cnam.fr;3 lieu-dit Test;03/05/1987;Auditeur;2024-01-01;2024-01-06
DOE;Mike;mike@cnam.fr;4 rue Exemple;20/01/1983;Auditeur;2024-01-03;2024-01-06
DURAND;Rene;rene@cnam.fr;5 Adresse test;01/04/1987;Auditeur;2024-01-06;2024-01-06
DOE;John;john2@cnam.fr;1 rue Exemple;01/01/1987;Auditeur;2023-12-20;2024-01-12
ANATOLE;Henry;henry2@cnam.fr;2 impasse Exemple;02/01/1980;Auditeur;2023-12-22;2024-01-06
DUPONT;Jean;jean2@cnam.fr;3 lieu-dit Test;03/05/1987;Auditeur;2024-01-01;2024-01-06
DOE;Mike;mike2@cnam.fr;4 rue Exemple;20/01/1983;Auditeur;2024-01-03;2024-01-06
DURAND;Rene;rene2@cnam.fr;5 Adresse test;01/04/1987;Auditeur;2024-01-06;2024-01-06
DOE;John;john3@cnam.fr;1 rue Exemple;01/01/1970;Auditeur;2023-12-20;2024-01-06
DURAND;Henry;henry3@cnam.fr;2 impasse Exemple;02/01/1980;Auditeur;2023-12-22;2024-01-06
BERTRAND;Jean;jean3@cnam.fr;3 lieu-dit Test;03/05/1987;Auditeur;2024-01-01;2024-01-06
DOE;Mike;mike3@cnam.fr;4 rue Exemple;20/01/1983;Auditeur;2024-01-03;2024-01-06
DURAND;Rene;rene4@cnam.fr;5 Adresse test;01/04/1987;Auditeur;2024-01-06;2024-01-06
DOE;John;john5@cnam.fr;1 rue Exemple;01/01/1970;Auditeur;2023-12-20;2024-01-06
DURAND;Henry;henry5@cnam.fr;2 impasse Exemple;02/01/1980;Auditeur;2023-12-22;2024-01-06
DUPONT;Jean;jean5@cnam.fr;3 lieu-dit Test;03/05/1987;Auditeur;2024-01-01;2024-01-06
BOB;Mike;mike5@cnam.fr;4 rue Exemple;20/01/1983;Auditeur;2024-01-03;2024-01-06
DURAND;Rene;rene5@cnam.fr;5 Adresse test;01/04/1987;Auditeur;2024-01-06;2024-01-06
DOE;John;john6@cnam.fr;Adress test;06/06/1986;Enseignant;2024-01-06;2024-01-06
PETIT;Manu;manupetit@cnam.fr;Adresse 1;05/05/1986;Auditeur;2024-01-11;2024-01-11
BARTHEZ;Fabien;fabien@cnam.fr;Rue des Buts;25/12/1986;Enseignant;2024-01-12;2024-01-12
TESTFINAL;Test-Final;testfinal2@cnam.fr;Adresse test final;12/12/1958;Direction;2024-01-12;2024-01-12
